UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date
384979263,18/11/2006,68,18/03/2025,SMS,Y,N,Resident,N,98,N,Y,N,25/03/2025,C,Owner,Resident,9,988,Y,Y,11/10/2021
861266532,05/08/2002,2120,20/10/2024,SMS,Y,N,Resident,N,51,N,N,Y,14/08/2024,D,Private Renter,Resident,3,666,N,Y,18/06/2025
259442689,29/06/2004,27,16/03/2025,Email,N,Y,Deceased,N,0,Y,N,Y,21/03/2025,A,Owner,Deceased,,,Y,Y,
794950581,16/05/2002,2415,03/01/2025,Email,N,Y,Resident,N,36,N,Y,N,05/01/2025,E,Private Renter,Resident,9,660,Y,Y,14/02/2022
773567736,31/03/2004,904,28/03/2025,SMS,Y,N,Unmatched,,,,,,,A,Social Renter,Unmatched,,,,,
717419609,27/11/1998,3439,04/01/2025,Phone,N,N,Resident,Y,7,N,N,N,03/06/2023,E,Social Renter,Resident,9,17,Y,N,07/07/2021
843492217,22/04/2016,240,25/02/2025,Email,N,Y,Unmatched,,,,,,,B,Owner,Resident,2,939,Y,Y,19/09/2025
219776171,27/04/2007,2955,04/02/2025,Phone,N,N,Resident,N,41,N,N,N,12/10/2024,D,Social Renter,Resident,4,582,Y,Y,30/11/2024
993133886,11/10/2006,2869,22/02/2025,Phone,N,N,Unmatched,,,,,,,F,Social Renter,Unmatched,,,,,
957753922,26/01/2006,3247,27/11/2023,Phone,N,N,Resident,N,16,N,N,N,24/04/2023,F,Social Renter,Resident,3,375,Y,Y,10/03/2025
791815758,04/05/2001,5002,21/07/2020,Letter,N,N,Resident,N,19,N,N,N,24/11/2020,F,Social Renter,Resident,7,179,Y,Y,16/06/2021
943918762,13/02/2012,3091,13/11/2023,Phone,N,N,Deceased,N,0,Y,N,N,25/12/2023,,Private Renter,Deceased,,,N,Y,
202958867,27/09/2012,384,01/03/2025,Email,N,Y,Forwarding Address,N,89,N,Y,Y,12/03/2025,D,Private Renter,Forwarding Address,7,902,Y,Y,27/09/2020
702946500,26/01/1999,998,,Email,N,Y,Resident,N,85,N,N,N,07/03/2025,B,Private Renter,Resident,1,887,N,Y,03/10/2025
384931346,05/08/2009,,01/04/2025,SMS,Y,N,Resident,N,13,N,Y,N,04/04/2025,C,Private Renter,Resident,3,753,Y,Y,22/06/2025
191358966,29/12/2000,61,25/03/2025,SMS,Y,N,Resident,N,89,N,Y,Y,22/03/2025,A,Private Renter,Resident,5,951,Y,Y,13/05/2024
600590519,22/09/2008,2996,02/10/2024,Phone,N,N,Deceased,N,0,Y,Y,Y,04/12/2024,F,Social Renter,Deceased,,,Y,N,
610763039,23/06/2018,1880,19/02/2025,Email,N,Y,Unmatched,,,,,,,B,Owner,Resident,1,840,Y,Y,03/10/2025
278236549,05/03/2017,3776,27/06/2023,Phone,N,N,Resident,N,23,N,N,Y,07/02/2024,E,Social Renter,Resident,1,326,N,Y,03/10/2025
933782995,03/06/1997,3182,16/02/2025,Email,N,Y,Resident,N,16,N,N,N,14/11/2023,F,Private Renter,Resident,2,342,Y,Y,23/09/2025
341343663,09/04/2014,189,18/02/2025,Phone,N,N,Resident,N,86,N,Y,N,10/03/2025,D,Social Renter,Resident,9,954,Y,Y,28/06/2022
530352120,28/10/2007,98,31/03/2025,Letter,N,N,Resident,N,99,N,Y,Y,27/03/2025,A,Private Renter,Resident,9,988,Y,Y,17/11/2019
484183477,02/03/2013,86,,SMS,Y,N,Resident,N,93,N,N,N,05/04/2025,C,Private Renter,Resident,6,959,Y,Y,19/08/2022
512448337,08/02/1997,504,10/03/2025,SMS,Y,N,Resident,N,75,N,N,N,31/03/2025,A,Owner,Unmatched,,,,,
556212494,25/05/2000,1711,22/02/2025,Email,N,Y,Resident,N,58,N,N,Y,30/01/2025,C,Private Renter,Resident,4,771,Y,Y,17/09/2024
489299107,22/06/1999,21,09/04/2025,SMS,Y,N,Forwarding Address,N,99,N,N,Y,26/03/2025,A,Owner,Deceased,,,Y,Y,
714709782,25/06/2017,551,09/03/2025,Email,N,Y,Resident,N,89,N,Y,Y,28/03/2025,B,Owner,Resident,3,951,Y,Y,08/03/2025
455794031,25/12/2005,2709,04/12/2024,Email,N,Y,Unmatched,,,,,,,F,Owner,Resident,2,520,N,Y,18/09/2025
658339434,30/10/2000,3552,21/06/2023,Email,N,Y,Resident,N,29,N,N,N,29/03/2023,C,Social Renter,Unmatched,,,,,
279802922,16/01/2005,2505,26/12/2024,Letter,N,N,Unmatched,,,,,,,E,Private Renter,Unmatched,,,,,
308314476,01/07/2017,1479,26/02/2025,Email,N,Y,Resident,N,62,N,Y,Y,24/12/2024,A,,Resident,6,799,Y,Y,01/10/2022
810979390,31/12/1999,2757,24/10/2024,Phone,N,N,Resident,N,36,N,Y,N,30/11/2024,F,Social Renter,Deceased,,,Y,N,
917534320,26/05/2017,,,SMS,Y,N,Resident,N,89,N,Y,Y,12/03/2025,C,Social Renter,Resident,6,792,Y,Y,02/02/2022
180148358,07/07/2004,2948,12/10/2024,Email,N,Y,Resident,N,49,N,Y,N,30/11/2024,D,Private Renter,Resident,5,585,Y,Y,12/10/2023
670529303,31/05/2011,116,05/04/2025,SMS,Y,N,Resident,N,75,N,Y,N,15/02/2025,A,Social Renter,Resident,3,954,Y,Y,10/08/2025
166962694,29/11/1998,29,28/03/2025,Email,N,Y,Resident,N,89,N,N,Y,22/03/2025,A,Owner,Resident,3,958,Y,Y,20/06/2025
745868401,21/12/2008,26,20/03/2025,Email,N,Y,Resident,N,92,N,Y,N,06/04/2025,A,Owner,Forwarding Address,8,969,Y,Y,10/09/2020
149487753,07/01/2010,50,22/03/2025,SMS,Y,N,Unmatched,,,,,,,,Private Renter,Unmatched,,,,,
565108561,10/12/2000,318,04/03/2025,SMS,Y,N,Unmatched,,,,,,,C,Private Renter,Unmatched,,,,,
584203193,28/08/2002,3758,15/10/2023,Letter,N,N,Resident,N,20,N,N,N,16/03/2023,,Social Renter,Resident,1,432,Y,Y,03/10/2025
858229213,14/10/2011,70,10/03/2025,SMS,Y,N,Forwarding Address,N,95,N,Y,Y,11/03/2025,B,Owner,Forwarding Address,3,977,Y,Y,01/06/2025
510962926,25/04/1997,789,23/03/2025,Email,N,Y,Resident,N,89,N,N,N,13/02/2025,D,Private Renter,Resident,8,938,Y,Y,27/09/2020
558350373,15/08/1997,4147,,Letter,N,N,Resident,Y,2,N,N,N,16/08/2020,A,Social Renter,Resident,7,282,Y,N,15/03/2021
640324347,09/07/2006,,18/03/2025,Phone,N,N,Resident,N,55,N,Y,N,22/03/2025,E,Social Renter,Resident,2,896,Y,Y,24/09/2025
895400665,09/06/2012,1793,,SMS,Y,N,Resident,N,50,N,Y,N,11/02/2025,D,,Resident,2,716,Y,Y,19/09/2025
243997861,16/01/1998,95,31/03/2025,Email,N,Y,Resident,N,86,N,Y,Y,07/04/2025,,Owner,Resident,6,975,Y,Y,30/10/2021
328849517,10/04/2007,1124,07/12/2024,SMS,Y,N,Unmatched,,,,,,,C,Owner,Unmatched,,,,,
818897201,04/12/2008,305,19/02/2025,SMS,Y,N,Resident,N,87,N,Y,Y,28/02/2025,B,Owner,Forwarding Address,8,875,Y,Y,11/04/2021
304971810,20/07/2008,217,13/02/2025,Email,N,Y,Resident,N,95,N,N,Y,23/03/2025,B,Social Renter,Resident,3,866,Y,Y,02/04/2025
163600593,03/11/1998,2282,18/03/2025,Letter,N,N,Resident,N,38,N,Y,Y,20/10/2024,E,Social Renter,Resident,1,561,N,Y,03/10/2025
841025085,22/02/2009,11,05/04/2025,SMS,Y,N,Forwarding Address,N,86,N,N,Y,08/04/2025,C,Owner,Resident,1,983,Y,Y,03/10/2025
816508552,02/06/2001,2155,,Letter,N,N,Unmatched,,,,,,,F,Private Renter,Unmatched,,,,,
920010850,23/03/2008,,01/04/2025,SMS,Y,N,Resident,N,91,N,Y,N,10/03/2025,F,Social Renter,Resident,2,259,Y,Y,21/09/2025
496191591,21/08/2015,1020,16/02/2025,Phone,N,N,Resident,N,69,N,N,Y,08/12/2024,C,Private Renter,Resident,3,808,Y,N,20/06/2025
725085379,07/09/2000,5,11/03/2025,SMS,Y,N,Resident,N,86,N,Y,Y,26/03/2025,D,Owner,Resident,9,987,Y,Y,01/07/2019
843582763,21/07/2009,,30/03/2025,Letter,N,N,Resident,N,95,N,Y,N,02/04/2025,D,Social Renter,Forwarding Address,4,585,Y,Y,25/03/2025
899777980,01/03/2006,1559,07/02/2025,Phone,N,N,Resident,N,71,N,Y,N,06/01/2025,D,Private Renter,Resident,8,718,N,Y,20/08/2020
398466977,05/10/2015,50,07/04/2025,SMS,Y,N,Resident,N,88,N,Y,Y,06/04/2025,B,Owner,Resident,8,956,Y,Y,06/12/2020
647212549,31/08/2016,1936,18/01/2025,SMS,Y,N,Resident,N,65,N,N,N,30/12/2024,,Owner,Unmatched,,,,,
281243942,22/09/2012,2647,10/12/2024,Phone,N,N,Unmatched,,,,,,,E,Owner,Unmatched,,,,,
121794878,21/02/2013,2771,12/01/2025,Email,N,Y,Unmatched,,,,,,,E,Private Renter,Unmatched,,,,,
302476184,08/01/2012,,,Phone,N,N,Resident,N,38,N,N,N,26/03/2025,,Social Renter,Resident,6,256,Y,Y,17/05/2022
920333758,28/09/2012,984,09/03/2025,Email,N,Y,Resident,N,78,N,Y,Y,10/03/2025,D,Social Renter,Resident,9,945,Y,Y,31/01/2020
356500916,06/09/2013,900,03/03/2025,Email,N,Y,Unmatched,,,,,,,B,Private Renter,Resident,9,958,Y,Y,04/11/2019
566609594,11/07/2010,2448,27/11/2024,Phone,N,N,Unmatched,,,,,,,E,Social Renter,Resident,2,580,Y,Y,29/09/2025
830849780,17/04/2006,69,08/04/2025,Email,N,Y,Resident,N,97,N,Y,Y,14/03/2025,E,Private Renter,Resident,6,983,Y,Y,22/08/2023
378351415,17/07/2001,40,30/03/2025,Phone,N,N,Forwarding Address,N,89,N,Y,Y,26/03/2025,C,Private Renter,Resident,2,981,Y,Y,18/09/2025
494973936,02/07/1997,72,17/03/2025,Email,N,Y,Deceased,N,0,Y,N,Y,07/04/2025,C,Private Renter,Unmatched,,,,,
162290706,30/04/2010,71,23/03/2025,SMS,Y,N,Unmatched,,,,,,,B,Owner,Unmatched,,,,,
826497313,03/09/2006,258,27/02/2025,SMS,Y,N,Unmatched,,,,,,,E,Private Renter,Resident,6,885,Y,Y,14/11/2023
769591034,07/04/2009,60,01/04/2025,Phone,N,N,Resident,N,85,N,N,Y,02/04/2025,D,Social Renter,Resident,8,963,Y,Y,11/12/2022
446451035,30/01/2011,1729,,SMS,Y,N,Unmatched,,,,,,,D,Social Renter,Unmatched,,,,,
179602041,13/07/2017,,26/03/2025,SMS,Y,N,Unmatched,,,,,,,A,Private Renter,Unmatched,,,,,
807881619,29/12/2005,375,14/03/2025,SMS,Y,N,Unmatched,,,,,,,,Private Renter,Resident,1,937,Y,Y,03/10/2025
768749982,09/03/2004,84,30/03/2025,SMS,Y,N,Unmatched,,,,,,,A,Social Renter,Forwarding Address,9,960,Y,Y,07/03/2019
702173323,24/10/2014,126,28/02/2025,Phone,N,N,Unmatched,,,,,,,B,,Resident,9,882,Y,Y,07/06/2019
757384236,31/08/2001,1985,28/12/2024,Email,N,Y,Unmatched,,,,,,,D,Owner,Resident,1,720,Y,Y,03/10/2025
952850128,18/07/2009,1321,30/01/2025,Phone,N,N,Resident,N,80,N,Y,Y,13/01/2025,E,Owner,Resident,1,865,N,Y,03/10/2025
493832581,11/09/1999,,07/04/2025,Phone,N,N,Resident,N,10,N,Y,N,09/04/2025,D,Owner,Resident,9,867,Y,N,25/02/2021
245996316,21/07/2009,87,11/03/2025,SMS,Y,N,Resident,N,98,N,Y,Y,24/03/2025,,Owner,Resident,9,967,Y,Y,01/12/2018
449243758,10/08/2005,1946,02/01/2025,Email,N,Y,Resident,N,68,N,N,Y,30/11/2024,E,Owner,Resident,7,833,N,Y,08/05/2024
230836826,16/07/2003,2466,25/12/2024,Email,N,Y,Resident,N,48,N,Y,N,09/01/2025,E,Owner,Resident,4,609,N,N,06/11/2024
625034800,21/10/1995,3397,,Letter,N,N,Resident,N,18,N,N,N,25/02/2024,D,Owner,Resident,6,294,Y,Y,08/09/2021
994647729,23/01/2015,48,21/03/2025,SMS,Y,N,Resident,N,86,N,Y,Y,20/03/2025,,Owner,Resident,6,963,Y,Y,20/06/2023
849035780,18/08/1995,2,04/04/2025,SMS,Y,N,Resident,N,87,N,Y,Y,30/03/2025,B,Owner,Resident,9,961,Y,Y,14/07/2019
510545176,20/06/1995,37,26/03/2025,Email,N,Y,Forwarding Address,N,99,N,Y,Y,25/03/2025,A,Private Renter,Forwarding Address,8,963,N,N,10/09/2022
874702087,14/07/2003,97,,SMS,Y,N,Resident,N,96,N,Y,Y,19/03/2025,A,Owner,Resident,5,979,Y,Y,18/10/2023
623790506,22/08/1999,,18/03/2025,Letter,N,N,Resident,N,52,N,N,N,17/03/2025,E,Social Renter,Resident,3,701,Y,Y,07/04/2025
270909943,09/07/2017,13,24/03/2025,Letter,N,N,Resident,N,95,N,N,Y,20/03/2025,,Owner,Resident,6,981,N,Y,09/09/2021
625413336,30/09/2003,1676,25/12/2024,SMS,Y,N,Resident,N,69,N,N,Y,02/12/2024,D,Private Renter,Resident,7,879,Y,Y,18/07/2023
768634659,01/07/2016,2,,SMS,Y,N,Resident,N,93,N,N,Y,19/03/2025,A,Private Renter,Unmatched,,,,,
853249958,24/04/2014,27,02/04/2025,Email,N,Y,Resident,N,91,N,Y,N,16/03/2025,,Owner,Resident,1,981,Y,Y,03/10/2025
388292647,08/08/2018,2134,04/02/2025,Phone,N,N,Resident,N,58,N,N,N,06/01/2025,F,Private Renter,Resident,4,537,Y,Y,23/10/2024
329412879,18/10/2013,46,04/04/2025,Email,N,Y,Unmatched,,,,,,,,Private Renter,Unmatched,,,,,
162001196,07/03/1999,1419,24/02/2025,Email,N,Y,Unmatched,,,,,,,C,Owner,Unmatched,,,,,
281669130,10/05/2000,3684,21/02/2025,Letter,N,N,Resident,N,15,N,Y,Y,08/11/2023,D,Social Renter,Resident,5,268,Y,Y,02/06/2024
711586616,20/07/1999,2831,21/11/2024,SMS,Y,N,Resident,N,52,N,N,N,01/09/2024,D,Social Renter,Unmatched,,,,,
695595429,15/05/2003,129,,Email,N,Y,Unmatched,,,,,,,A,Private Renter,Unmatched,,,,,
382594975,14/11/1997,2575,24/02/2025,Phone,N,N,Resident,N,60,N,Y,Y,07/02/2025,E,Social Renter,Resident,9,665,Y,N,27/03/2020
875764043,15/05/2018,2068,21/12/2024,Email,N,Y,Unmatched,,,,,,,F,Private Renter,Unmatched,,,,,
128588998,12/05/2015,1900,18/01/2025,Email,N,Y,Resident,N,69,N,N,N,13/02/2025,F,Owner,Resident,5,795,Y,Y,26/05/2024
472623681,01/02/2012,2054,30/12/2024,Phone,N,N,Resident,N,41,N,Y,Y,17/01/2025,D,Social Renter,Resident,4,510,Y,Y,09/09/2024
762411743,18/10/2013,,14/03/2025,SMS,Y,N,Resident,N,20,N,N,Y,08/04/2025,D,Social Renter,Resident,5,658,Y,Y,14/01/2024
593258104,05/04/2018,920,12/03/2025,Phone,N,N,Resident,N,78,N,N,Y,21/03/2025,E,Owner,Resident,8,946,Y,N,27/10/2019
250576578,16/12/2008,872,17/03/2025,Phone,N,N,Forwarding Address,N,93,N,Y,Y,17/02/2025,C,Social Renter,Forwarding Address,5,878,Y,N,15/06/2024
913731479,20/12/2006,2624,28/08/2024,Email,N,Y,Resident,N,30,N,N,N,11/10/2024,F,Social Renter,Resident,4,630,Y,Y,16/10/2024
889379831,20/11/2000,3697,06/04/2023,SMS,Y,N,Resident,N,18,N,N,Y,26/08/2023,F,Social Renter,Resident,6,537,Y,Y,12/11/2022
570996653,09/08/2002,65,28/03/2025,Email,N,Y,Resident,N,87,N,N,N,23/03/2025,B,Owner,Resident,6,959,Y,Y,28/06/2022
820768196,27/07/1998,3603,01/06/2024,Email,N,Y,Resident,N,18,N,N,N,11/01/2024,F,Owner,Deceased,,,Y,Y,
956302972,09/03/2018,1,26/03/2025,SMS,Y,N,Resident,N,98,N,Y,Y,24/03/2025,A,Owner,Resident,8,962,Y,Y,18/05/2020
988097754,04/09/2018,,03/04/2025,SMS,Y,N,Resident,N,99,N,N,Y,18/03/2025,C,Private Renter,Resident,9,193,Y,Y,09/02/2020
447960041,26/08/2005,1268,27/12/2024,SMS,Y,N,Resident,N,61,N,N,Y,23/12/2024,E,Private Renter,Resident,8,706,Y,Y,02/06/2020
935690671,20/09/2018,,18/03/2025,Letter,N,N,Deceased,N,0,Y,N,Y,19/03/2025,E,Private Renter,Deceased,,,Y,Y,
984095911,20/10/2006,36,07/04/2025,Phone,N,N,Unmatched,,,,,,,A,Owner,Unmatched,,,,,
615632965,28/03/2006,812,22/02/2025,SMS,Y,N,Resident,N,84,N,N,Y,29/03/2025,D,Owner,Resident,7,950,Y,Y,11/03/2023
990120813,19/01/2004,2266,07/03/2025,Email,N,Y,Resident,N,51,N,Y,N,30/11/2024,D,Private Renter,Resident,1,536,Y,Y,03/10/2025
734123071,20/05/2001,2668,24/01/2025,Email,N,Y,Forwarding Address,N,40,N,N,Y,31/10/2024,A,Private Renter,Unmatched,,,,,
639524998,09/02/2001,841,05/03/2025,SMS,Y,N,Resident,N,80,N,N,Y,09/03/2025,D,Private Renter,Resident,9,878,Y,Y,06/05/2020
