UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Mobile_Available,Email_Available,Segment_Risk_Score,Action_Tier
202312981,2015-02-21,3036.0,2024-12-11,Letter,N,N,Resident,N,19.0,N,N,N,2023-11-03,B,Social Renter,Resident,1.0,320.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,0,262.69,Tier 3 - High Risk
414099252,2009-01-08,995.0,2025-03-08,Email,N,Y,Forwarding Address,N,82.0,N,Y,Y,2025-02-28,C,Owner,Resident,2.0,930.0,Y,Y,2025-09-30,Zone 3 - Only dp3 says Resident,0,1,84.95,Tier 2 - Medium Risk
626258645,1995-01-07,15.0,2025-04-05,SMS,Y,N,Forwarding Address,N,98.0,N,Y,Y,2025-03-16,A,Social Renter,Forwarding Address,6.0,975.0,Y,Y,2024-06-27,Zone 4 - Neither says Resident,1,0,37.98,Tier 1 - Low Risk
820238454,1997-04-11,64.0,,Email,N,Y,Resident,N,85.0,N,Y,N,2025-03-12,B,,Resident,8.0,955.0,Y,Y,2022-12-04,Zone 1 - Agreement,0,1,70.14,Tier 2 - Medium Risk
853948239,2008-10-08,1757.0,2025-03-10,SMS,Y,N,Resident,N,73.0,N,N,Y,2025-02-16,C,Owner,Forwarding Address,3.0,706.0,N,Y,2025-04-04,Zone 2 - Only dp1 says Resident,1,0,107.3,Tier 3 - High Risk
797134839,1998-04-11,1320.0,2025-02-10,SMS,Y,N,Resident,N,50.0,N,Y,N,2024-12-04,D,Owner,Resident,2.0,803.0,Y,Y,2025-09-26,Zone 1 - Agreement,1,0,116.23,Tier 3 - High Risk
943723201,2001-11-20,896.0,2025-02-27,Email,N,Y,Resident,N,82.0,N,N,Y,2025-03-09,C,Owner,Resident,3.0,866.0,Y,N,2025-05-29,Zone 1 - Agreement,0,1,90.36,Tier 2 - Medium Risk
949653177,2015-02-28,929.0,2025-03-11,SMS,Y,N,Resident,N,81.0,N,N,Y,2025-02-18,B,Owner,Resident,4.0,853.0,Y,Y,2024-09-05,Zone 1 - Agreement,1,0,76.32,Tier 2 - Medium Risk
160329895,2010-12-11,379.0,2025-02-07,SMS,Y,N,Resident,N,94.0,N,N,Y,2025-03-22,C,Private Renter,Resident,4.0,849.0,Y,Y,2024-10-17,Zone 1 - Agreement,1,0,58.22,Tier 1 - Low Risk
516195093,2018-01-22,4907.0,,Letter,N,N,Resident,Y,1.0,N,N,N,2020-06-20,F,,Resident,1.0,75.0,N,Y,2025-10-03,Zone 1 - Agreement,0,0,323.9,Tier 3 - High Risk
897215186,2000-09-05,79.0,2025-04-06,Email,N,Y,Resident,N,89.0,N,N,N,2025-03-14,B,Owner,Resident,3.0,977.0,N,Y,2025-07-23,Zone 1 - Agreement,0,1,64.09,Tier 1 - Low Risk
954275044,2007-02-06,96.0,2025-03-22,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-21,B,Private Renter,Resident,6.0,977.0,Y,Y,2022-01-31,Zone 1 - Agreement,1,0,47.59,Tier 1 - Low Risk
152128816,2012-11-06,3365.0,2024-10-17,Letter,N,N,Resident,N,15.0,N,Y,Y,2023-03-20,E,Private Renter,Resident,1.0,282.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,0,273.78,Tier 3 - High Risk
895570481,2000-08-04,66.0,2025-03-24,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-04-07,,Owner,Resident,9.0,959.0,Y,Y,2019-08-14,Zone 1 - Agreement,1,0,39.09,Tier 1 - Low Risk
227155108,1999-02-12,1257.0,2024-12-30,Email,N,Y,Resident,N,80.0,N,Y,Y,2024-12-13,B,Owner,Resident,7.0,701.0,Y,Y,2022-02-02,Zone 1 - Agreement,0,1,112.47,Tier 3 - High Risk
496348983,2009-05-04,1726.0,2025-02-01,Email,N,Y,Resident,N,50.0,N,N,Y,2025-01-02,E,,Resident,8.0,700.0,Y,Y,2020-07-09,Zone 1 - Agreement,0,1,147.26,Tier 3 - High Risk
857593580,2000-07-09,2213.0,2025-02-26,SMS,Y,N,Resident,N,39.0,N,N,N,2024-11-13,E,Owner,Resident,1.0,709.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,145.56,Tier 3 - High Risk
464322349,2013-03-24,69.0,2025-04-09,SMS,Y,N,Resident,N,85.0,N,Y,N,2025-03-14,B,Private Renter,Resident,2.0,964.0,Y,Y,2025-09-23,Zone 1 - Agreement,1,0,52.62,Tier 1 - Low Risk
474808016,1998-03-27,2971.0,2024-10-18,Email,N,Y,Resident,N,28.0,N,N,N,2024-09-03,E,Private Renter,Resident,8.0,675.0,N,Y,2019-12-25,Zone 1 - Agreement,0,1,184.21,Tier 3 - High Risk
237111459,2017-12-11,18.0,2025-03-23,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-04-06,B,Owner,Resident,5.0,989.0,Y,Y,2024-05-04,Zone 1 - Agreement,1,0,42.61,Tier 1 - Low Risk
835239506,2001-08-13,3584.0,2024-04-24,Phone,N,N,Resident,N,22.0,N,Y,N,2023-07-24,F,Social Renter,Forwarding Address,6.0,379.0,Y,Y,2022-12-18,Zone 2 - Only dp1 says Resident,0,0,259.27,Tier 3 - High Risk
330074074,2005-05-20,1696.0,2025-02-18,Phone,N,N,Resident,N,62.0,N,N,Y,2024-11-24,E,Social Renter,Resident,7.0,701.0,Y,Y,2021-04-07,Zone 1 - Agreement,0,0,168.19,Tier 3 - High Risk
694148273,2001-04-20,224.0,2025-03-15,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-03-15,A,Social Renter,Resident,6.0,959.0,Y,Y,2022-10-20,Zone 1 - Agreement,1,0,47.67,Tier 1 - Low Risk
176849717,2012-12-15,2512.0,2024-12-23,SMS,Y,N,Resident,N,27.0,N,N,N,2024-10-27,F,Private Renter,Resident,3.0,549.0,Y,Y,2025-08-27,Zone 1 - Agreement,1,0,176.55,Tier 3 - High Risk
865138414,2007-10-24,34.0,2025-03-17,Email,N,Y,Resident,N,88.0,N,Y,Y,2025-04-06,A,Owner,Resident,6.0,966.0,Y,Y,2022-01-28,Zone 1 - Agreement,0,1,65.74,Tier 1 - Low Risk
643034599,2017-07-10,17.0,2025-03-21,SMS,Y,N,Resident,N,91.0,N,Y,N,2025-03-28,A,Private Renter,Resident,5.0,954.0,N,Y,2023-12-17,Zone 1 - Agreement,1,0,47.1,Tier 1 - Low Risk
860392550,2007-05-18,1351.0,,SMS,Y,N,Resident,N,74.0,N,Y,N,2024-12-03,,Private Renter,Forwarding Address,7.0,789.0,Y,Y,2021-02-16,Zone 2 - Only dp1 says Resident,1,0,93.94,Tier 2 - Medium Risk
923855486,2001-08-09,47.0,2025-03-17,Email,N,Y,Resident,N,86.0,N,Y,N,2025-04-08,B,Owner,Resident,5.0,974.0,Y,Y,2023-11-11,Zone 1 - Agreement,0,1,67.07,Tier 1 - Low Risk
261250777,1997-04-13,74.0,2025-03-22,SMS,Y,N,Resident,N,93.0,N,N,Y,2025-03-21,C,Owner,Resident,1.0,972.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,43.87,Tier 1 - Low Risk
854902435,1996-01-10,74.0,2025-03-14,Email,N,Y,Resident,N,98.0,N,N,Y,2025-03-18,A,Social Renter,Resident,1.0,955.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,1,57.24,Tier 1 - Low Risk
384979263,2006-11-18,68.0,2025-03-18,SMS,Y,N,Resident,N,98.0,N,Y,N,2025-03-25,C,Owner,Resident,9.0,988.0,Y,Y,2021-10-11,Zone 1 - Agreement,1,0,37.21,Tier 1 - Low Risk
861266532,2002-08-05,2120.0,2024-10-20,SMS,Y,N,Resident,N,51.0,N,N,Y,2024-08-14,D,Private Renter,Resident,3.0,666.0,N,Y,2025-06-18,Zone 1 - Agreement,1,0,136.93,Tier 3 - High Risk
794950581,2002-05-16,2415.0,2025-01-03,Email,N,Y,Resident,N,36.0,N,Y,N,2025-01-05,E,Private Renter,Resident,9.0,660.0,Y,Y,2022-02-14,Zone 1 - Agreement,0,1,172.15,Tier 3 - High Risk
717419609,1998-11-27,3439.0,2025-01-04,Phone,N,N,Resident,Y,7.0,N,N,N,2023-06-03,E,Social Renter,Resident,9.0,17.0,Y,N,2021-07-07,Zone 1 - Agreement,0,0,309.02,Tier 3 - High Risk
219776171,2007-04-27,2955.0,2025-02-04,Phone,N,N,Resident,N,41.0,N,N,N,2024-10-12,D,Social Renter,Resident,4.0,582.0,Y,Y,2024-11-30,Zone 1 - Agreement,0,0,213.68,Tier 3 - High Risk
957753922,2006-01-26,3247.0,2023-11-27,Phone,N,N,Resident,N,16.0,N,N,N,2023-04-24,F,Social Renter,Resident,3.0,375.0,Y,Y,2025-03-10,Zone 1 - Agreement,0,0,262.3,Tier 3 - High Risk
791815758,2001-05-04,5002.0,2020-07-21,Letter,N,N,Resident,N,19.0,N,N,N,2020-11-24,F,Social Renter,Resident,7.0,179.0,Y,Y,2021-06-16,Zone 1 - Agreement,0,0,296.45,Tier 3 - High Risk
202958867,2012-09-27,384.0,2025-03-01,Email,N,Y,Forwarding Address,N,89.0,N,Y,Y,2025-03-12,D,Private Renter,Forwarding Address,7.0,902.0,Y,Y,2020-09-27,Zone 4 - Neither says Resident,0,1,74.64,Tier 2 - Medium Risk
702946500,1999-01-26,998.0,,Email,N,Y,Resident,N,85.0,N,N,N,2025-03-07,B,Private Renter,Resident,1.0,887.0,N,Y,2025-10-03,Zone 1 - Agreement,0,1,86.28,Tier 2 - Medium Risk
191358966,2000-12-29,61.0,2025-03-25,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-22,A,Private Renter,Resident,5.0,951.0,Y,Y,2024-05-13,Zone 1 - Agreement,1,0,49.84,Tier 1 - Low Risk
278236549,2017-03-05,3776.0,2023-06-27,Phone,N,N,Resident,N,23.0,N,N,Y,2024-02-07,E,Social Renter,Resident,1.0,326.0,N,Y,2025-10-03,Zone 1 - Agreement,0,0,265.49,Tier 3 - High Risk
933782995,1997-06-03,3182.0,2025-02-16,Email,N,Y,Resident,N,16.0,N,N,N,2023-11-14,F,Private Renter,Resident,2.0,342.0,Y,Y,2025-09-23,Zone 1 - Agreement,0,1,231.62,Tier 3 - High Risk
341343663,2014-04-09,189.0,2025-02-18,Phone,N,N,Resident,N,86.0,N,Y,N,2025-03-10,D,Social Renter,Resident,9.0,954.0,Y,Y,2022-06-28,Zone 1 - Agreement,0,0,103.82,Tier 3 - High Risk
530352120,2007-10-28,98.0,2025-03-31,Letter,N,N,Resident,N,99.0,N,Y,Y,2025-03-27,A,Private Renter,Resident,9.0,988.0,Y,Y,2019-11-17,Zone 1 - Agreement,0,0,86.51,Tier 2 - Medium Risk
484183477,2013-03-02,86.0,,SMS,Y,N,Resident,N,93.0,N,N,N,2025-04-05,C,Private Renter,Resident,6.0,959.0,Y,Y,2022-08-19,Zone 1 - Agreement,1,0,45.29,Tier 1 - Low Risk
556212494,2000-05-25,1711.0,2025-02-22,Email,N,Y,Resident,N,58.0,N,N,Y,2025-01-30,C,Private Renter,Resident,4.0,771.0,Y,Y,2024-09-17,Zone 1 - Agreement,0,1,132.01,Tier 3 - High Risk
714709782,2017-06-25,551.0,2025-03-09,Email,N,Y,Resident,N,89.0,N,Y,Y,2025-03-28,B,Owner,Resident,3.0,951.0,Y,Y,2025-03-08,Zone 1 - Agreement,0,1,71.41,Tier 2 - Medium Risk
308314476,2017-07-01,1479.0,2025-02-26,Email,N,Y,Resident,N,62.0,N,Y,Y,2024-12-24,A,,Resident,6.0,799.0,Y,Y,2022-10-01,Zone 1 - Agreement,0,1,122.89,Tier 3 - High Risk
180148358,2004-07-07,2948.0,2024-10-12,Email,N,Y,Resident,N,49.0,N,Y,N,2024-11-30,D,Private Renter,Resident,5.0,585.0,Y,Y,2023-10-12,Zone 1 - Agreement,0,1,171.98,Tier 3 - High Risk
670529303,2011-05-31,116.0,2025-04-05,SMS,Y,N,Resident,N,75.0,N,Y,N,2025-02-15,A,Social Renter,Resident,3.0,954.0,Y,Y,2025-08-10,Zone 1 - Agreement,1,0,64.09,Tier 1 - Low Risk
166962694,1998-11-29,29.0,2025-03-28,Email,N,Y,Resident,N,89.0,N,N,Y,2025-03-22,A,Owner,Resident,3.0,958.0,Y,Y,2025-06-20,Zone 1 - Agreement,0,1,65.49,Tier 1 - Low Risk
745868401,2008-12-21,26.0,2025-03-20,Email,N,Y,Resident,N,92.0,N,Y,N,2025-04-06,A,Owner,Forwarding Address,8.0,969.0,Y,Y,2020-09-10,Zone 2 - Only dp1 says Resident,0,1,61.36,Tier 1 - Low Risk
584203193,2002-08-28,3758.0,2023-10-15,Letter,N,N,Resident,N,20.0,N,N,N,2023-03-16,,Social Renter,Resident,1.0,432.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,0,257.71,Tier 3 - High Risk
858229213,2011-10-14,70.0,2025-03-10,SMS,Y,N,Forwarding Address,N,95.0,N,Y,Y,2025-03-11,B,Owner,Forwarding Address,3.0,977.0,Y,Y,2025-06-01,Zone 4 - Neither says Resident,1,0,41.33,Tier 1 - Low Risk
510962926,1997-04-25,789.0,2025-03-23,Email,N,Y,Resident,N,89.0,N,N,N,2025-02-13,D,Private Renter,Resident,8.0,938.0,Y,Y,2020-09-27,Zone 1 - Agreement,0,1,75.09,Tier 2 - Medium Risk
558350373,1997-08-15,4147.0,,Letter,N,N,Resident,Y,2.0,N,N,N,2020-08-16,A,Social Renter,Resident,7.0,282.0,Y,N,2021-03-15,Zone 1 - Agreement,0,0,294.6,Tier 3 - High Risk
895400665,2012-06-09,1793.0,,SMS,Y,N,Resident,N,50.0,N,Y,N,2025-02-11,D,,Resident,2.0,716.0,Y,Y,2025-09-19,Zone 1 - Agreement,1,0,129.66,Tier 3 - High Risk
243997861,1998-01-16,95.0,2025-03-31,Email,N,Y,Resident,N,86.0,N,Y,Y,2025-04-07,,Owner,Resident,6.0,975.0,Y,Y,2021-10-30,Zone 1 - Agreement,0,1,67.45,Tier 1 - Low Risk
818897201,2008-12-04,305.0,2025-02-19,SMS,Y,N,Resident,N,87.0,N,Y,Y,2025-02-28,B,Owner,Forwarding Address,8.0,875.0,Y,Y,2021-04-11,Zone 2 - Only dp1 says Resident,1,0,61.88,Tier 1 - Low Risk
304971810,2008-07-20,217.0,2025-02-13,Email,N,Y,Resident,N,95.0,N,N,Y,2025-03-23,B,Social Renter,Resident,3.0,866.0,Y,Y,2025-04-02,Zone 1 - Agreement,0,1,70.57,Tier 2 - Medium Risk
163600593,1998-11-03,2282.0,2025-03-18,Letter,N,N,Resident,N,38.0,N,Y,Y,2024-10-20,E,Social Renter,Resident,1.0,561.0,N,Y,2025-10-03,Zone 1 - Agreement,0,0,212.05,Tier 3 - High Risk
841025085,2009-02-22,11.0,2025-04-05,SMS,Y,N,Forwarding Address,N,86.0,N,N,Y,2025-04-08,C,Owner,Resident,1.0,983.0,Y,Y,2025-10-03,Zone 3 - Only dp3 says Resident,1,0,49.14,Tier 1 - Low Risk
496191591,2015-08-21,1020.0,2025-02-16,Phone,N,N,Resident,N,69.0,N,N,Y,2024-12-08,C,Private Renter,Resident,3.0,808.0,Y,N,2025-06-20,Zone 1 - Agreement,0,0,143.73,Tier 3 - High Risk
725085379,2000-09-07,5.0,2025-03-11,SMS,Y,N,Resident,N,86.0,N,Y,Y,2025-03-26,D,Owner,Resident,9.0,987.0,Y,Y,2019-07-01,Zone 1 - Agreement,1,0,48.68,Tier 1 - Low Risk
899777980,2006-03-01,1559.0,2025-02-07,Phone,N,N,Resident,N,71.0,N,Y,N,2025-01-06,D,Private Renter,Resident,8.0,718.0,N,Y,2020-08-20,Zone 1 - Agreement,0,0,156.12,Tier 3 - High Risk
398466977,2015-10-05,50.0,2025-04-07,SMS,Y,N,Resident,N,88.0,N,Y,Y,2025-04-06,B,Owner,Resident,8.0,956.0,Y,Y,2020-12-06,Zone 1 - Agreement,1,0,50.23,Tier 1 - Low Risk
920333758,2012-09-28,984.0,2025-03-09,Email,N,Y,Resident,N,78.0,N,Y,Y,2025-03-10,D,Social Renter,Resident,9.0,945.0,Y,Y,2020-01-31,Zone 1 - Agreement,0,1,87.34,Tier 2 - Medium Risk
830849780,2006-04-17,69.0,2025-04-08,Email,N,Y,Resident,N,97.0,N,Y,Y,2025-03-14,E,Private Renter,Resident,6.0,983.0,Y,Y,2023-08-22,Zone 1 - Agreement,0,1,55.39,Tier 1 - Low Risk
378351415,2001-07-17,40.0,2025-03-30,Phone,N,N,Forwarding Address,N,89.0,N,Y,Y,2025-03-26,C,Private Renter,Resident,2.0,981.0,Y,Y,2025-09-18,Zone 3 - Only dp3 says Resident,0,0,96.63,Tier 2 - Medium Risk
769591034,2009-04-07,60.0,2025-04-01,Phone,N,N,Resident,N,85.0,N,N,Y,2025-04-02,D,Social Renter,Resident,8.0,963.0,Y,Y,2022-12-11,Zone 1 - Agreement,0,0,102.63,Tier 3 - High Risk
952850128,2009-07-18,1321.0,2025-01-30,Phone,N,N,Resident,N,80.0,N,Y,Y,2025-01-13,E,Owner,Resident,1.0,865.0,N,Y,2025-10-03,Zone 1 - Agreement,0,0,130.04,Tier 3 - High Risk
245996316,2009-07-21,87.0,2025-03-11,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-24,,Owner,Resident,9.0,967.0,Y,Y,2018-12-01,Zone 1 - Agreement,1,0,39.5,Tier 1 - Low Risk
449243758,2005-08-10,1946.0,2025-01-02,Email,N,Y,Resident,N,68.0,N,N,Y,2024-11-30,E,Owner,Resident,7.0,833.0,N,Y,2024-05-08,Zone 1 - Agreement,0,1,118.16,Tier 3 - High Risk
230836826,2003-07-16,2466.0,2024-12-25,Email,N,Y,Resident,N,48.0,N,Y,N,2025-01-09,E,Owner,Resident,4.0,609.0,N,N,2024-11-06,Zone 1 - Agreement,0,1,165.76,Tier 3 - High Risk
625034800,1995-10-21,3397.0,,Letter,N,N,Resident,N,18.0,N,N,N,2024-02-25,D,Owner,Resident,6.0,294.0,Y,Y,2021-09-08,Zone 1 - Agreement,0,0,269.9,Tier 3 - High Risk
994647729,2015-01-23,48.0,2025-03-21,SMS,Y,N,Resident,N,86.0,N,Y,Y,2025-03-20,,Owner,Resident,6.0,963.0,Y,Y,2023-06-20,Zone 1 - Agreement,1,0,51.51,Tier 1 - Low Risk
849035780,1995-08-18,2.0,2025-04-04,SMS,Y,N,Resident,N,87.0,N,Y,Y,2025-03-30,B,Owner,Resident,9.0,961.0,Y,Y,2019-07-14,Zone 1 - Agreement,1,0,50.25,Tier 1 - Low Risk
510545176,1995-06-20,37.0,2025-03-26,Email,N,Y,Forwarding Address,N,99.0,N,Y,Y,2025-03-25,A,Private Renter,Forwarding Address,8.0,963.0,N,N,2022-09-10,Zone 4 - Neither says Resident,0,1,55.07,Tier 1 - Low Risk
874702087,2003-07-14,97.0,,SMS,Y,N,Resident,N,96.0,N,Y,Y,2025-03-19,A,Owner,Resident,5.0,979.0,Y,Y,2023-10-18,Zone 1 - Agreement,1,0,40.4,Tier 1 - Low Risk
270909943,2017-07-09,13.0,2025-03-24,Letter,N,N,Resident,N,95.0,N,N,Y,2025-03-20,,Owner,Resident,6.0,981.0,N,Y,2021-09-09,Zone 1 - Agreement,0,0,90.36,Tier 2 - Medium Risk
625413336,2003-09-30,1676.0,2024-12-25,SMS,Y,N,Resident,N,69.0,N,N,Y,2024-12-02,D,Private Renter,Resident,7.0,879.0,Y,Y,2023-07-18,Zone 1 - Agreement,1,0,93.19,Tier 2 - Medium Risk
853249958,2014-04-24,27.0,2025-04-02,Email,N,Y,Resident,N,91.0,N,Y,N,2025-03-16,,Owner,Resident,1.0,981.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,1,61.17,Tier 1 - Low Risk
388292647,2018-08-08,2134.0,2025-02-04,Phone,N,N,Resident,N,58.0,N,N,N,2025-01-06,F,Private Renter,Resident,4.0,537.0,Y,Y,2024-10-23,Zone 1 - Agreement,0,0,192.97,Tier 3 - High Risk
281669130,2000-05-10,3684.0,2025-02-21,Letter,N,N,Resident,N,15.0,N,Y,Y,2023-11-08,D,Social Renter,Resident,5.0,268.0,Y,Y,2024-06-02,Zone 1 - Agreement,0,0,278.37,Tier 3 - High Risk
382594975,1997-11-14,2575.0,2025-02-24,Phone,N,N,Resident,N,60.0,N,Y,Y,2025-02-07,E,Social Renter,Resident,9.0,665.0,Y,N,2020-03-27,Zone 1 - Agreement,0,0,182.58,Tier 3 - High Risk
128588998,2015-05-12,1900.0,2025-01-18,Email,N,Y,Resident,N,69.0,N,N,N,2025-02-13,F,Owner,Resident,5.0,795.0,Y,Y,2024-05-26,Zone 1 - Agreement,0,1,120.5,Tier 3 - High Risk
472623681,2012-02-01,2054.0,2024-12-30,Phone,N,N,Resident,N,41.0,N,Y,Y,2025-01-17,D,Social Renter,Resident,4.0,510.0,Y,Y,2024-09-09,Zone 1 - Agreement,0,0,211.87,Tier 3 - High Risk
593258104,2018-04-05,920.0,2025-03-12,Phone,N,N,Resident,N,78.0,N,N,Y,2025-03-21,E,Owner,Resident,8.0,946.0,Y,N,2019-10-27,Zone 1 - Agreement,0,0,119.93,Tier 3 - High Risk
250576578,2008-12-16,872.0,2025-03-17,Phone,N,N,Forwarding Address,N,93.0,N,Y,Y,2025-02-17,C,Social Renter,Forwarding Address,5.0,878.0,Y,N,2024-06-15,Zone 4 - Neither says Resident,0,0,111.25,Tier 3 - High Risk
913731479,2006-12-20,2624.0,2024-08-28,Email,N,Y,Resident,N,30.0,N,N,N,2024-10-11,F,Social Renter,Resident,4.0,630.0,Y,Y,2024-10-16,Zone 1 - Agreement,0,1,183.24,Tier 3 - High Risk
889379831,2000-11-20,3697.0,2023-04-06,SMS,Y,N,Resident,N,18.0,N,N,Y,2023-08-26,F,Social Renter,Resident,6.0,537.0,Y,Y,2022-11-12,Zone 1 - Agreement,1,0,198.6,Tier 3 - High Risk
570996653,2002-08-09,65.0,2025-03-28,Email,N,Y,Resident,N,87.0,N,N,N,2025-03-23,B,Owner,Resident,6.0,959.0,Y,Y,2022-06-28,Zone 1 - Agreement,0,1,67.75,Tier 1 - Low Risk
956302972,2018-03-09,1.0,2025-03-26,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-24,A,Owner,Resident,8.0,962.0,Y,Y,2020-05-18,Zone 1 - Agreement,1,0,39.14,Tier 1 - Low Risk
447960041,2005-08-26,1268.0,2024-12-27,SMS,Y,N,Resident,N,61.0,N,N,Y,2024-12-23,E,Private Renter,Resident,8.0,706.0,Y,Y,2020-06-02,Zone 1 - Agreement,1,0,114.41,Tier 3 - High Risk
615632965,2006-03-28,812.0,2025-02-22,SMS,Y,N,Resident,N,84.0,N,N,Y,2025-03-29,D,Owner,Resident,7.0,950.0,Y,Y,2023-03-11,Zone 1 - Agreement,1,0,62.45,Tier 1 - Low Risk
990120813,2004-01-19,2266.0,2025-03-07,Email,N,Y,Resident,N,51.0,N,Y,N,2024-11-30,D,Private Renter,Resident,1.0,536.0,Y,Y,2025-10-03,Zone 1 - Agreement,0,1,168.06,Tier 3 - High Risk
639524998,2001-02-09,841.0,2025-03-05,SMS,Y,N,Resident,N,80.0,N,N,Y,2025-03-09,D,Private Renter,Resident,9.0,878.0,Y,Y,2020-05-06,Zone 1 - Agreement,1,0,73.94,Tier 2 - Medium Risk
527092278,2012-08-29,1996.0,2024-12-21,Email,N,Y,Resident,N,62.0,N,Y,N,2025-01-09,F,Private Renter,Resident,3.0,886.0,Y,Y,2025-06-25,Zone 1 - Agreement,0,1,119.36,Tier 3 - High Risk
546781701,1996-10-15,424.0,,SMS,Y,N,Resident,N,95.0,N,N,Y,2025-03-07,B,Social Renter,Resident,9.0,939.0,Y,Y,2022-07-05,Zone 1 - Agreement,1,0,48.67,Tier 1 - Low Risk
178181770,1998-10-28,26.0,2025-03-23,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-12,,Owner,Resident,2.0,952.0,Y,N,2025-09-24,Zone 1 - Agreement,1,0,40.39,Tier 1 - Low Risk
600409006,2006-07-03,2136.0,2024-12-19,Email,N,Y,Resident,N,60.0,N,N,Y,2024-09-02,E,Private Renter,Resident,3.0,586.0,N,Y,2025-07-11,Zone 1 - Agreement,0,1,152.76,Tier 3 - High Risk
391547504,2014-12-10,2533.0,2025-02-11,Phone,N,N,Resident,N,49.0,N,Y,Y,2024-11-14,,Owner,Forwarding Address,7.0,514.0,Y,Y,2020-12-10,Zone 2 - Only dp1 says Resident,0,0,208.26,Tier 3 - High Risk
