UID,Embed_X,Embed_Y,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Mobile_Available,Email_Available,Segment_Risk_Score,Action_Tier,Anomaly Label,Cluster,Recovery Strategy
378075233,-0.44389644,2.855612,2000-02-11,41.0,2025-03-27,SMS,Y,N,Resident,N,98.0,N,Y,N,2025-04-06,,Private Renter,Resident,9.0,951.0,Y,Y,2022-06-11,Zone 1 - Agreement,1,0,40.64,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
569937851,-0.7266073,2.9165664,2018-09-02,79.0,2025-03-22,SMS,Y,N,Resident,N,98.0,N,N,N,2025-04-09,E,Owner,Resident,3.0,954.0,Y,Y,2025-03-14,Zone 1 - Agreement,1,0,40.72,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
393777044,-0.7230269,2.9298062,2018-09-16,52.0,2025-03-20,SMS,Y,N,Resident,N,95.0,N,Y,Y,2025-03-30,,Owner,Resident,4.0,979.0,Y,Y,2025-03-17,Zone 1 - Agreement,1,0,40.95,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
106504409,-0.72808534,2.9333274,2016-10-25,8.0,2025-04-01,SMS,Y,N,Resident,N,95.0,N,Y,Y,2025-03-30,B,Owner,Resident,7.0,974.0,Y,Y,2021-10-21,Zone 1 - Agreement,1,0,41.01,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
189977269,-0.7227507,2.9329133,2005-02-27,18.0,2025-03-19,SMS,Y,N,Resident,N,95.0,N,Y,Y,2025-04-04,A,Owner,Resident,5.0,973.0,Y,Y,2024-02-01,Zone 1 - Agreement,1,0,41.21,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
407709860,-0.40680668,2.7851253,2016-04-17,25.0,2025-03-19,SMS,Y,N,Resident,N,94.0,N,Y,Y,2025-04-06,B,Social Renter,Resident,7.0,983.0,Y,Y,2021-02-03,Zone 1 - Agreement,1,0,41.28,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
858229213,-0.72201306,2.7017713,2011-10-14,70.0,2025-03-10,SMS,Y,N,Forwarding Address,N,95.0,N,Y,Y,2025-03-11,B,Owner,Forwarding Address,3.0,977.0,Y,Y,2025-06-01,Zone 4 - Neither says Resident,1,0,41.33,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
941340767,-0.72177947,2.9263012,2013-11-07,15.0,2025-04-02,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-03-31,B,Owner,Resident,3.0,951.0,Y,Y,2025-06-18,Zone 1 - Agreement,1,0,41.38,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
307111297,-0.4281123,2.8644786,2006-08-26,46.0,2025-03-20,SMS,Y,N,Resident,N,95.0,N,Y,Y,2025-03-10,,Private Renter,Resident,2.0,974.0,Y,Y,2025-09-24,Zone 1 - Agreement,1,0,41.39,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
701453953,-0.7148302,2.6985052,2009-08-06,97.0,2025-03-18,SMS,Y,N,Forwarding Address,N,96.0,N,Y,Y,2025-03-16,A,Owner,Forwarding Address,6.0,969.0,Y,Y,2022-10-31,Zone 4 - Neither says Resident,1,0,41.4,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
512778860,-0.416855,2.8641536,1995-03-24,94.0,2025-03-11,SMS,Y,N,Resident,N,95.0,N,N,N,2025-03-28,B,Private Renter,Resident,6.0,978.0,Y,Y,2023-12-09,Zone 1 - Agreement,1,0,41.47,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
200872587,-0.41728497,2.8583336,1998-01-11,81.0,2025-03-22,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-03-22,,Private Renter,Resident,5.0,955.0,Y,N,2023-10-09,Zone 1 - Agreement,1,0,41.64,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
832143050,-0.42762476,2.870603,1997-06-28,17.0,,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-26,B,Private Renter,Resident,9.0,988.0,Y,Y,2021-01-22,Zone 1 - Agreement,1,0,41.7,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
498595799,-0.59921575,2.5846872,2008-08-18,51.0,2025-04-03,SMS,Y,N,Forwarding Address,N,93.0,N,Y,Y,2025-03-14,,Owner,Resident,4.0,989.0,Y,Y,2024-10-17,Zone 3 - Only dp3 says Resident,1,0,41.94,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
326426261,-0.6944422,2.9316726,2015-10-15,99.0,2025-03-19,SMS,Y,N,Resident,N,94.0,N,Y,Y,2025-03-17,B,Owner,Resident,5.0,983.0,Y,Y,2024-02-03,Zone 1 - Agreement,1,0,42.02,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
621123043,-0.40988672,2.8614798,2014-05-01,57.0,2025-03-18,SMS,Y,N,Resident,N,96.0,N,Y,Y,2025-03-27,C,Private Renter,Resident,6.0,956.0,Y,N,2024-07-03,Zone 1 - Agreement,1,0,42.3,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
302325791,-0.41214278,2.8645842,1998-07-17,36.0,,SMS,Y,N,Resident,N,95.0,N,Y,Y,2025-03-31,A,Private Renter,Resident,2.0,963.0,Y,Y,2025-09-19,Zone 1 - Agreement,1,0,42.39,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
676447399,-0.6859063,2.9381235,2002-01-23,75.0,2025-03-31,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-04-08,B,Owner,Resident,9.0,985.0,Y,Y,2020-02-28,Zone 1 - Agreement,1,0,42.58,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
237111459,-0.69242734,2.946175,2017-12-11,18.0,2025-03-23,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-04-06,B,Owner,Resident,5.0,989.0,Y,Y,2024-05-04,Zone 1 - Agreement,1,0,42.61,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
307046892,-0.680884,2.943616,2014-08-05,58.0,2025-03-29,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-03-10,,Owner,Resident,4.0,990.0,Y,Y,2025-03-16,Zone 1 - Agreement,1,0,42.91,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
812551758,-0.39268008,2.8613272,2017-12-15,83.0,2025-04-06,SMS,Y,N,Resident,N,96.0,N,N,N,2025-03-13,C,Private Renter,Resident,3.0,952.0,Y,Y,2025-06-04,Zone 1 - Agreement,1,0,42.96,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
978693146,-0.38758275,2.8701348,1996-09-28,93.0,2025-03-26,SMS,Y,N,Resident,N,93.0,N,N,Y,2025-03-20,A,Private Renter,Resident,6.0,982.0,Y,Y,2022-09-28,Zone 1 - Agreement,1,0,43.06,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
312593657,-0.3921542,2.861386,2018-07-09,75.0,2025-03-14,SMS,Y,N,Resident,N,96.0,N,Y,Y,2025-04-01,A,Private Renter,Resident,8.0,950.0,Y,Y,2021-08-10,Zone 1 - Agreement,1,0,43.08,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
379590791,-0.67408717,2.9386714,1996-04-30,81.0,2025-04-01,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-04-06,A,Owner,Resident,5.0,980.0,Y,Y,2023-12-31,Zone 1 - Agreement,1,0,43.14,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
999681890,-0.38588366,2.8702762,2011-02-02,74.0,2025-03-21,SMS,Y,N,Resident,N,93.0,N,N,N,2025-03-20,B,Private Renter,Resident,8.0,977.0,Y,Y,2022-02-06,Zone 1 - Agreement,1,0,43.37,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
792320040,-0.67772365,2.9440458,2015-01-23,18.0,2025-04-04,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-14,A,Owner,Resident,5.0,971.0,Y,Y,2023-10-31,Zone 1 - Agreement,1,0,43.41,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
925998290,-0.35942695,2.783838,2003-10-31,82.0,,SMS,Y,N,Resident,N,93.0,N,N,Y,2025-03-20,A,Social Renter,Resident,2.0,977.0,Y,Y,2025-09-21,Zone 1 - Agreement,1,0,43.45,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
652977133,-0.6677145,2.9439251,2004-10-30,68.0,2025-03-22,SMS,Y,N,Resident,N,92.0,N,N,N,2025-03-26,A,Owner,Resident,7.0,985.0,N,N,2023-04-16,Zone 1 - Agreement,1,0,43.51,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
496458582,-0.66517264,2.9386787,2018-04-10,90.0,2025-03-26,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-04-02,B,Owner,Resident,1.0,977.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,43.53,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
146189180,-0.67029727,2.9427376,1995-01-14,40.0,2025-03-11,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-22,C,Owner,Resident,6.0,971.0,N,Y,2021-11-12,Zone 1 - Agreement,1,0,43.63,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
624034719,-0.66708046,2.937372,1998-08-03,64.0,2025-03-10,SMS,Y,N,Resident,N,94.0,N,Y,Y,2025-04-06,E,Owner,Resident,6.0,963.0,Y,Y,2022-10-22,Zone 1 - Agreement,1,0,43.67,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
881172023,-0.6717807,2.9440508,1996-02-17,24.0,,SMS,Y,N,Resident,N,93.0,N,Y,N,2025-03-27,C,Owner,Resident,2.0,969.0,Y,Y,2025-10-02,Zone 1 - Agreement,1,0,43.67,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
368241195,-0.66017574,2.9383245,2004-10-15,99.0,,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-04-09,A,Owner,Resident,3.0,976.0,Y,Y,2025-05-23,Zone 1 - Agreement,1,0,43.72,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
206410033,-0.6150177,2.8160782,2004-12-03,79.0,2025-04-09,SMS,Y,N,Resident,N,94.0,N,Y,N,2025-03-22,A,Owner,Forwarding Address,9.0,963.0,Y,Y,2020-12-14,Zone 2 - Only dp1 says Resident,1,0,43.82,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
261250777,-0.66077954,2.9405346,1997-04-13,74.0,2025-03-22,SMS,Y,N,Resident,N,93.0,N,N,Y,2025-03-21,C,Owner,Resident,1.0,972.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,43.87,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
109652942,-0.38115892,2.8735693,1996-04-28,29.0,2025-03-16,SMS,Y,N,Resident,N,92.0,N,N,Y,2025-03-21,C,Private Renter,Resident,4.0,975.0,Y,Y,2024-11-25,Zone 1 - Agreement,1,0,44.12,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
163545540,-0.36713234,2.8673365,2006-01-18,77.0,2025-03-18,SMS,Y,N,Resident,N,94.0,N,Y,Y,2025-04-02,A,Private Renter,Resident,2.0,957.0,Y,Y,2025-09-27,Zone 1 - Agreement,1,0,44.4,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
450621146,-0.33767825,2.7813008,2002-04-27,98.0,2025-03-15,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-21,B,Social Renter,Resident,1.0,967.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,44.61,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
425529755,-0.37257415,2.8796604,2016-08-20,7.0,2025-04-09,SMS,Y,N,Resident,N,90.0,N,Y,N,2025-04-09,B,Private Renter,Resident,4.0,986.0,Y,Y,2024-10-17,Zone 1 - Agreement,1,0,44.8,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
118925492,-0.4034268,2.7695045,2008-07-03,71.0,2025-03-26,SMS,Y,N,Resident,N,94.0,N,N,Y,2025-03-27,A,,Resident,3.0,952.0,Y,Y,2025-03-22,Zone 1 - Agreement,1,0,44.84,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
343847511,-0.36902288,2.8766022,2004-11-19,22.0,2025-03-23,SMS,Y,N,Resident,N,91.0,N,Y,Y,2025-03-23,,Private Renter,Resident,3.0,977.0,Y,N,2025-07-03,Zone 1 - Agreement,1,0,44.85,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
450146318,-0.6447408,2.950398,2011-06-15,20.0,,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-03-12,A,Owner,Resident,2.0,965.0,Y,Y,2025-09-24,Zone 1 - Agreement,1,0,45.03,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
484183477,-0.34884217,2.8702662,2013-03-02,86.0,,SMS,Y,N,Resident,N,93.0,N,N,N,2025-04-05,C,Private Renter,Resident,6.0,959.0,Y,Y,2022-08-19,Zone 1 - Agreement,1,0,45.29,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
924449508,-0.638097,2.9561303,1995-02-23,2.0,2025-04-03,SMS,Y,N,Resident,N,91.0,N,N,Y,2025-03-31,A,Owner,Resident,5.0,969.0,Y,Y,2023-09-16,Zone 1 - Agreement,1,0,45.45,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
822676632,-0.6262672,2.9546363,2014-06-03,69.0,2025-04-03,SMS,Y,N,Resident,N,90.0,N,N,N,2025-03-29,A,Owner,Resident,4.0,985.0,Y,Y,2025-03-10,Zone 1 - Agreement,1,0,45.52,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
277804390,-0.58950895,2.8350375,1998-10-12,21.0,2025-03-12,SMS,Y,N,Resident,N,90.0,N,N,Y,2025-03-20,C,Owner,Forwarding Address,8.0,980.0,Y,Y,2020-10-24,Zone 2 - Only dp1 says Resident,1,0,45.54,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
103060434,-0.32931027,2.7904296,2005-05-25,28.0,2025-03-30,SMS,Y,N,Resident,N,91.0,N,Y,Y,2025-03-10,A,Social Renter,Resident,8.0,969.0,Y,Y,2021-10-17,Zone 1 - Agreement,1,0,45.71,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
805195699,-0.6241704,2.9563713,2001-03-18,52.0,2025-03-22,SMS,Y,N,Resident,N,90.0,N,Y,N,2025-03-11,B,Owner,Resident,3.0,981.0,Y,Y,2025-04-02,Zone 1 - Agreement,1,0,45.75,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
433003842,-0.3488988,2.8824992,2018-08-03,30.0,2025-04-01,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-10,A,Private Renter,Resident,6.0,988.0,N,Y,2023-01-22,Zone 1 - Agreement,1,0,45.83,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
948800303,-0.3399817,2.879249,1999-11-25,73.0,,SMS,Y,N,Resident,N,90.0,N,Y,N,2025-04-02,A,Private Renter,Resident,5.0,982.0,Y,Y,2023-11-11,Zone 1 - Agreement,1,0,45.86,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
367179542,-0.32732373,2.7855966,2008-03-21,34.0,2025-04-09,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-03-28,B,Social Renter,Resident,3.0,958.0,Y,Y,2025-04-11,Zone 1 - Agreement,1,0,45.87,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
736188103,-0.61460155,2.9530423,1997-03-23,60.0,2025-03-25,SMS,Y,N,Resident,N,91.0,N,Y,Y,2025-04-05,A,Owner,Resident,4.0,967.0,Y,Y,2024-10-16,Zone 1 - Agreement,1,0,46.23,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
691622014,-0.6168213,2.9576416,2015-08-22,7.0,2025-03-19,SMS,Y,N,Resident,N,91.0,N,Y,Y,2025-03-28,B,Owner,Resident,3.0,959.0,Y,Y,2025-07-02,Zone 1 - Agreement,1,0,46.5,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
563008860,-0.6077582,2.9571612,1998-03-31,60.0,2025-03-27,SMS,Y,N,Resident,N,90.0,N,Y,N,2025-03-29,B,Owner,Resident,7.0,974.0,Y,Y,2022-07-01,Zone 1 - Agreement,1,0,46.53,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
224801646,-0.6028997,2.9552534,2012-05-15,86.0,2025-03-11,SMS,Y,N,Resident,N,90.0,N,Y,Y,2025-04-01,C,Owner,Resident,9.0,976.0,Y,Y,2019-07-31,Zone 1 - Agreement,1,0,46.59,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
647919063,-0.32753876,2.8734846,2012-12-02,56.0,2025-04-03,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-04-08,C,Private Renter,Resident,1.0,951.0,Y,Y,2025-10-03,Zone 1 - Agreement,1,0,46.79,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
759664863,-0.60889894,2.9610445,2000-01-01,16.0,2025-03-17,SMS,Y,N,Resident,N,90.0,N,N,Y,2025-03-22,B,Owner,Resident,9.0,967.0,Y,Y,2021-08-12,Zone 1 - Agreement,1,0,46.79,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
682434809,-0.59857273,2.9576473,2001-05-09,64.0,2025-04-07,SMS,Y,N,Resident,N,90.0,N,N,Y,2025-03-21,A,Owner,Resident,9.0,970.0,Y,Y,2021-08-17,Zone 1 - Agreement,1,0,46.97,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
643034599,-0.32951292,2.8767202,2017-07-10,17.0,2025-03-21,SMS,Y,N,Resident,N,91.0,N,Y,N,2025-03-28,A,Private Renter,Resident,5.0,954.0,N,Y,2023-12-17,Zone 1 - Agreement,1,0,47.1,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
347770789,-0.3192039,2.8824084,2017-08-06,51.0,2025-04-08,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-13,B,Private Renter,Resident,6.0,976.0,Y,Y,2024-07-16,Zone 1 - Agreement,1,0,47.24,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
993512273,-0.5924048,2.9618852,2001-02-26,62.0,2025-03-14,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-04-07,A,Owner,Resident,6.0,977.0,Y,Y,2022-11-26,Zone 1 - Agreement,1,0,47.25,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
