UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Segment_Risk_Score,Action_Tier
146189180,1995-01-14,40.0,2025-03-11,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-22,C,Owner,Resident,6.0,971.0,N,Y,2021-11-12,Zone 1 - Agreement,97.8,Tier 2 – Medium Risk
915535571,2007-06-11,4120.0,2019-04-29,Email,N,Y,Resident,N,14.0,N,N,N,2021-08-12,F,Social Renter,Resident,8.0,269.0,N,Y,2022-10-07,Zone 1 - Agreement,238.0,Tier 3 – High Risk
876581331,2007-08-02,48.0,2025-03-21,Email,N,Y,Resident,N,93.0,N,N,N,2025-03-31,B,Owner,Forwarding Address,5.0,988.0,Y,Y,2023-11-17,Zone 2 - Only dp1 says Resident,81.6,Tier 2 – Medium Risk
265579534,2000-07-23,32.0,2025-03-17,SMS,Y,N,Deceased,N,0.0,Y,N,Y,2025-03-27,A,Owner,Deceased,,,Y,N,,Zone 4 - Neither says Resident,73.5,Tier 2 – Medium Risk
952214600,1997-01-08,1306.0,2025-01-20,SMS,Y,N,Resident,N,73.0,N,N,N,2024-12-29,C,Owner,Resident,7.0,768.0,Y,Y,2021-09-15,Zone 1 - Agreement,97.8,Tier 2 – Medium Risk
830205633,2010-03-19,3.0,2025-03-19,Email,N,Y,Resident,N,91.0,N,Y,N,2025-03-10,C,Social Renter,Resident,7.0,989.0,Y,Y,2022-06-19,Zone 1 - Agreement,144.7,Tier 3 – High Risk
202312981,2015-02-21,3036.0,2024-12-11,Letter,N,N,Resident,N,19.0,N,N,N,2023-11-03,B,Social Renter,Resident,1.0,320.0,Y,Y,2025-10-03,Zone 1 - Agreement,99.0,Tier 2 – Medium Risk
414099252,2009-01-08,995.0,2025-03-08,Email,N,Y,Forwarding Address,N,82.0,N,Y,Y,2025-02-28,C,Owner,Resident,2.0,930.0,Y,Y,2025-09-30,Zone 3 - Only dp3 says Resident,97.8,Tier 2 – Medium Risk
626258645,1995-01-07,15.0,2025-04-05,SMS,Y,N,Forwarding Address,N,98.0,N,Y,Y,2025-03-16,A,Social Renter,Forwarding Address,6.0,975.0,Y,Y,2024-06-27,Zone 4 - Neither says Resident,125.7,Tier 3 – High Risk
820238454,1997-04-11,64.0,,Email,N,Y,Resident,N,85.0,N,Y,N,2025-03-12,B,,Resident,8.0,955.0,Y,Y,2022-12-04,Zone 1 - Agreement,,
853948239,2008-10-08,1757.0,2025-03-10,SMS,Y,N,Resident,N,73.0,N,N,Y,2025-02-16,C,Owner,Forwarding Address,3.0,706.0,N,Y,2025-04-04,Zone 2 - Only dp1 says Resident,97.8,Tier 2 – Medium Risk
797134839,1998-04-11,1320.0,2025-02-10,SMS,Y,N,Resident,N,50.0,N,Y,N,2024-12-04,D,Owner,Resident,2.0,803.0,Y,Y,2025-09-26,Zone 1 - Agreement,137.0,Tier 3 – High Risk
701553550,1995-10-24,2896.0,2024-11-20,Email,N,Y,Resident,N,53.0,N,N,N,2024-12-16,B,Owner,Deceased,,,Y,Y,,Zone 2 - Only dp1 says Resident,81.6,Tier 2 – Medium Risk
943723201,2001-11-20,896.0,2025-02-27,Email,N,Y,Resident,N,82.0,N,N,Y,2025-03-09,C,Owner,Resident,3.0,866.0,Y,N,2025-05-29,Zone 1 - Agreement,97.8,Tier 2 – Medium Risk
673408969,2007-08-01,22.0,2025-03-11,SMS,Y,N,Unmatched,,,,,,,C,Social Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,144.7,Tier 3 – High Risk
949653177,2015-02-28,929.0,2025-03-11,SMS,Y,N,Resident,N,81.0,N,N,Y,2025-02-18,B,Owner,Resident,4.0,853.0,Y,Y,2024-09-05,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
160329895,2010-12-11,379.0,2025-02-07,SMS,Y,N,Resident,N,94.0,N,N,Y,2025-03-22,C,Private Renter,Resident,4.0,849.0,Y,Y,2024-10-17,Zone 1 - Agreement,108.1,Tier 3 – High Risk
516195093,2018-01-22,4907.0,,Letter,N,N,Resident,Y,1.0,N,N,N,2020-06-20,F,,Resident,1.0,75.0,N,Y,2025-10-03,Zone 1 - Agreement,,
897215186,2000-09-05,79.0,2025-04-06,Email,N,Y,Resident,N,89.0,N,N,N,2025-03-14,B,Owner,Resident,3.0,977.0,N,Y,2025-07-23,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
929911724,2017-10-26,28.0,2025-04-08,SMS,Y,N,Unmatched,,,,,,,B,,Resident,6.0,984.0,Y,Y,2023-01-14,Zone 3 - Only dp3 says Resident,,
821542299,2015-05-05,,2025-04-04,Email,N,Y,Resident,N,89.0,N,Y,N,2025-03-16,A,Private Renter,Unmatched,,,,,,Zone 2 - Only dp1 says Resident,73.0,Tier 2 – Medium Risk
954275044,2007-02-06,96.0,2025-03-22,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-21,B,Private Renter,Resident,6.0,977.0,Y,Y,2022-01-31,Zone 1 - Agreement,86.8,Tier 2 – Medium Risk
644536408,2008-04-08,2009.0,2024-10-27,Email,N,Y,Unmatched,,,,,,,D,Social Renter,Resident,7.0,512.0,N,N,2022-11-14,Zone 3 - Only dp3 says Resident,160.7,Tier 3 – High Risk
318943984,2018-05-16,2283.0,2024-12-11,Email,N,Y,Unmatched,,,,,,,F,Private Renter,Resident,7.0,600.0,Y,Y,2022-11-13,Zone 3 - Only dp3 says Resident,213.1,Tier 3 – High Risk
152128816,2012-11-06,3365.0,2024-10-17,Letter,N,N,Resident,N,15.0,N,Y,Y,2023-03-20,E,Private Renter,Resident,1.0,282.0,Y,Y,2025-10-03,Zone 1 - Agreement,192.1,Tier 3 – High Risk
376917175,2010-06-20,2007.0,2025-01-10,Phone,N,N,Unmatched,,,,,,,,Owner,Deceased,,,Y,Y,,Zone 4 - Neither says Resident,,
636118594,1999-10-31,2655.0,2024-11-22,Phone,N,N,Deceased,N,0.0,Y,Y,Y,2024-09-25,C,Private Renter,Deceased,,,Y,N,,Zone 4 - Neither says Resident,108.1,Tier 3 – High Risk
895570481,2000-08-04,66.0,2025-03-24,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-04-07,,Owner,Resident,9.0,959.0,Y,Y,2019-08-14,Zone 1 - Agreement,,
227155108,1999-02-12,1257.0,2024-12-30,Email,N,Y,Resident,N,80.0,N,Y,Y,2024-12-13,B,Owner,Resident,7.0,701.0,Y,Y,2022-02-02,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
496348983,2009-05-04,1726.0,2025-02-01,Email,N,Y,Resident,N,50.0,N,N,Y,2025-01-02,E,,Resident,8.0,700.0,Y,Y,2020-07-09,Zone 1 - Agreement,,
341349808,2000-04-06,114.0,2025-03-23,Email,N,Y,Unmatched,,,,,,,A,Owner,Unmatched,,,,,,Zone 4 - Neither says Resident,73.5,Tier 2 – Medium Risk
857593580,2000-07-09,2213.0,2025-02-26,SMS,Y,N,Resident,N,39.0,N,N,N,2024-11-13,E,Owner,Resident,1.0,709.0,Y,Y,2025-10-03,Zone 1 - Agreement,144.4,Tier 3 – High Risk
464322349,2013-03-24,69.0,2025-04-09,SMS,Y,N,Resident,N,85.0,N,Y,N,2025-03-14,B,Private Renter,Resident,2.0,964.0,Y,Y,2025-09-23,Zone 1 - Agreement,86.8,Tier 2 – Medium Risk
613696709,2010-03-17,1337.0,2024-12-28,Email,N,Y,Unmatched,,,,,,,D,Social Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,160.7,Tier 3 – High Risk
474808016,1998-03-27,2971.0,2024-10-18,Email,N,Y,Resident,N,28.0,N,N,N,2024-09-03,E,Private Renter,Resident,8.0,675.0,N,Y,2019-12-25,Zone 1 - Agreement,192.1,Tier 3 – High Risk
237111459,2017-12-11,18.0,2025-03-23,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-04-06,B,Owner,Resident,5.0,989.0,Y,Y,2024-05-04,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
835239506,2001-08-13,3584.0,2024-04-24,Phone,N,N,Resident,N,22.0,N,Y,N,2023-07-24,F,Social Renter,Forwarding Address,6.0,379.0,Y,Y,2022-12-18,Zone 2 - Only dp1 says Resident,238.0,Tier 3 – High Risk
330074074,2005-05-20,1696.0,2025-02-18,Phone,N,N,Resident,N,62.0,N,N,Y,2024-11-24,E,Social Renter,Resident,7.0,701.0,Y,Y,2021-04-07,Zone 1 - Agreement,212.6,Tier 3 – High Risk
694148273,2001-04-20,224.0,2025-03-15,SMS,Y,N,Resident,N,92.0,N,Y,Y,2025-03-15,A,Social Renter,Resident,6.0,959.0,Y,Y,2022-10-20,Zone 1 - Agreement,125.7,Tier 3 – High Risk
357654044,2005-04-07,100.0,2025-03-28,SMS,Y,N,Unmatched,,,,,,,A,,Resident,6.0,968.0,Y,Y,2023-12-06,Zone 3 - Only dp3 says Resident,,
176849717,2012-12-15,2512.0,2024-12-23,SMS,Y,N,Resident,N,27.0,N,N,N,2024-10-27,F,Private Renter,Resident,3.0,549.0,Y,Y,2025-08-27,Zone 1 - Agreement,213.1,Tier 3 – High Risk
826693495,2011-10-21,1734.0,2025-01-17,Email,N,Y,Unmatched,,,,,,,B,Owner,Unmatched,,,,,,Zone 4 - Neither says Resident,81.6,Tier 2 – Medium Risk
865138414,2007-10-24,34.0,2025-03-17,Email,N,Y,Resident,N,88.0,N,Y,Y,2025-04-06,A,Owner,Resident,6.0,966.0,Y,Y,2022-01-28,Zone 1 - Agreement,73.5,Tier 2 – Medium Risk
861026783,2002-06-12,,2025-03-18,Email,N,Y,Resident,N,42.0,N,Y,Y,2025-04-03,F,,Resident,8.0,702.0,N,Y,2023-02-24,Zone 1 - Agreement,,
643034599,2017-07-10,17.0,2025-03-21,SMS,Y,N,Resident,N,91.0,N,Y,N,2025-03-28,A,Private Renter,Resident,5.0,954.0,N,Y,2023-12-17,Zone 1 - Agreement,73.0,Tier 2 – Medium Risk
346717172,2011-08-01,21.0,2025-03-21,Email,N,Y,Unmatched,,,,,,,,Owner,Unmatched,,,,,,Zone 4 - Neither says Resident,,
860392550,2007-05-18,1351.0,,SMS,Y,N,Resident,N,74.0,N,Y,N,2024-12-03,,Private Renter,Forwarding Address,7.0,789.0,Y,Y,2021-02-16,Zone 2 - Only dp1 says Resident,,
923855486,2001-08-09,47.0,2025-03-17,Email,N,Y,Resident,N,86.0,N,Y,N,2025-04-08,B,Owner,Resident,5.0,974.0,Y,Y,2023-11-11,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
261250777,1997-04-13,74.0,2025-03-22,SMS,Y,N,Resident,N,93.0,N,N,Y,2025-03-21,C,Owner,Resident,1.0,972.0,Y,Y,2025-10-03,Zone 1 - Agreement,97.8,Tier 2 – Medium Risk
832608454,2000-12-15,2761.0,2024-09-01,Phone,N,N,Deceased,N,0.0,Y,N,N,2024-10-01,,Private Renter,Deceased,,,N,Y,,Zone 4 - Neither says Resident,,
159411917,2001-08-12,5463.0,2020-11-28,Phone,N,N,Unmatched,,,,,,,F,Private Renter,Resident,4.0,243.0,Y,Y,2025-02-05,Zone 3 - Only dp3 says Resident,213.1,Tier 3 – High Risk
854902435,1996-01-10,74.0,2025-03-14,Email,N,Y,Resident,N,98.0,N,N,Y,2025-03-18,A,Social Renter,Resident,1.0,955.0,Y,Y,2025-10-03,Zone 1 - Agreement,125.7,Tier 3 – High Risk
630016911,2015-12-04,,2025-04-09,Letter,N,N,Deceased,N,0.0,Y,Y,N,2025-03-23,D,Owner,Deceased,,,Y,N,,Zone 4 - Neither says Resident,137.0,Tier 3 – High Risk
391615365,1998-09-21,69.0,2025-03-20,SMS,Y,N,Deceased,N,0.0,Y,Y,Y,2025-04-07,B,Owner,Deceased,,,Y,Y,,Zone 4 - Neither says Resident,81.6,Tier 2 – Medium Risk
951229030,2001-08-03,2405.0,2024-10-30,Phone,N,N,Unmatched,,,,,,,D,Social Renter,Resident,5.0,622.0,Y,Y,2023-12-18,Zone 3 - Only dp3 says Resident,160.7,Tier 3 – High Risk
384979263,2006-11-18,68.0,2025-03-18,SMS,Y,N,Resident,N,98.0,N,Y,N,2025-03-25,C,Owner,Resident,9.0,988.0,Y,Y,2021-10-11,Zone 1 - Agreement,97.8,Tier 2 – Medium Risk
861266532,2002-08-05,2120.0,2024-10-20,SMS,Y,N,Resident,N,51.0,N,N,Y,2024-08-14,D,Private Renter,Resident,3.0,666.0,N,Y,2025-06-18,Zone 1 - Agreement,136.7,Tier 3 – High Risk
259442689,2004-06-29,27.0,2025-03-16,Email,N,Y,Deceased,N,0.0,Y,N,Y,2025-03-21,A,Owner,Deceased,,,Y,Y,,Zone 4 - Neither says Resident,73.5,Tier 2 – Medium Risk
794950581,2002-05-16,2415.0,2025-01-03,Email,N,Y,Resident,N,36.0,N,Y,N,2025-01-05,E,Private Renter,Resident,9.0,660.0,Y,Y,2022-02-14,Zone 1 - Agreement,192.1,Tier 3 – High Risk
773567736,2004-03-31,904.0,2025-03-28,SMS,Y,N,Unmatched,,,,,,,A,Social Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,125.7,Tier 3 – High Risk
717419609,1998-11-27,3439.0,2025-01-04,Phone,N,N,Resident,Y,7.0,N,N,N,2023-06-03,E,Social Renter,Resident,9.0,17.0,Y,N,2021-07-07,Zone 1 - Agreement,212.6,Tier 3 – High Risk
843492217,2016-04-22,240.0,2025-02-25,Email,N,Y,Unmatched,,,,,,,B,Owner,Resident,2.0,939.0,Y,Y,2025-09-19,Zone 3 - Only dp3 says Resident,81.6,Tier 2 – Medium Risk
219776171,2007-04-27,2955.0,2025-02-04,Phone,N,N,Resident,N,41.0,N,N,N,2024-10-12,D,Social Renter,Resident,4.0,582.0,Y,Y,2024-11-30,Zone 1 - Agreement,160.7,Tier 3 – High Risk
993133886,2006-10-11,2869.0,2025-02-22,Phone,N,N,Unmatched,,,,,,,F,Social Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,238.0,Tier 3 – High Risk
957753922,2006-01-26,3247.0,2023-11-27,Phone,N,N,Resident,N,16.0,N,N,N,2023-04-24,F,Social Renter,Resident,3.0,375.0,Y,Y,2025-03-10,Zone 1 - Agreement,238.0,Tier 3 – High Risk
791815758,2001-05-04,5002.0,2020-07-21,Letter,N,N,Resident,N,19.0,N,N,N,2020-11-24,F,Social Renter,Resident,7.0,179.0,Y,Y,2021-06-16,Zone 1 - Agreement,238.0,Tier 3 – High Risk
943918762,2012-02-13,3091.0,2023-11-13,Phone,N,N,Deceased,N,0.0,Y,N,N,2023-12-25,,Private Renter,Deceased,,,N,Y,,Zone 4 - Neither says Resident,,
202958867,2012-09-27,384.0,2025-03-01,Email,N,Y,Forwarding Address,N,89.0,N,Y,Y,2025-03-12,D,Private Renter,Forwarding Address,7.0,902.0,Y,Y,2020-09-27,Zone 4 - Neither says Resident,136.7,Tier 3 – High Risk
702946500,1999-01-26,998.0,,Email,N,Y,Resident,N,85.0,N,N,N,2025-03-07,B,Private Renter,Resident,1.0,887.0,N,Y,2025-10-03,Zone 1 - Agreement,86.8,Tier 2 – Medium Risk
384931346,2009-08-05,,2025-04-01,SMS,Y,N,Resident,N,13.0,N,Y,N,2025-04-04,C,Private Renter,Resident,3.0,753.0,Y,Y,2025-06-22,Zone 1 - Agreement,108.1,Tier 3 – High Risk
191358966,2000-12-29,61.0,2025-03-25,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-22,A,Private Renter,Resident,5.0,951.0,Y,Y,2024-05-13,Zone 1 - Agreement,73.0,Tier 2 – Medium Risk
600590519,2008-09-22,2996.0,2024-10-02,Phone,N,N,Deceased,N,0.0,Y,Y,Y,2024-12-04,F,Social Renter,Deceased,,,Y,N,,Zone 4 - Neither says Resident,238.0,Tier 3 – High Risk
610763039,2018-06-23,1880.0,2025-02-19,Email,N,Y,Unmatched,,,,,,,B,Owner,Resident,1.0,840.0,Y,Y,2025-10-03,Zone 3 - Only dp3 says Resident,81.6,Tier 2 – Medium Risk
278236549,2017-03-05,3776.0,2023-06-27,Phone,N,N,Resident,N,23.0,N,N,Y,2024-02-07,E,Social Renter,Resident,1.0,326.0,N,Y,2025-10-03,Zone 1 - Agreement,212.6,Tier 3 – High Risk
933782995,1997-06-03,3182.0,2025-02-16,Email,N,Y,Resident,N,16.0,N,N,N,2023-11-14,F,Private Renter,Resident,2.0,342.0,Y,Y,2025-09-23,Zone 1 - Agreement,213.1,Tier 3 – High Risk
341343663,2014-04-09,189.0,2025-02-18,Phone,N,N,Resident,N,86.0,N,Y,N,2025-03-10,D,Social Renter,Resident,9.0,954.0,Y,Y,2022-06-28,Zone 1 - Agreement,160.7,Tier 3 – High Risk
530352120,2007-10-28,98.0,2025-03-31,Letter,N,N,Resident,N,99.0,N,Y,Y,2025-03-27,A,Private Renter,Resident,9.0,988.0,Y,Y,2019-11-17,Zone 1 - Agreement,73.0,Tier 2 – Medium Risk
484183477,2013-03-02,86.0,,SMS,Y,N,Resident,N,93.0,N,N,N,2025-04-05,C,Private Renter,Resident,6.0,959.0,Y,Y,2022-08-19,Zone 1 - Agreement,108.1,Tier 3 – High Risk
512448337,1997-02-08,504.0,2025-03-10,SMS,Y,N,Resident,N,75.0,N,N,N,2025-03-31,A,Owner,Unmatched,,,,,,Zone 2 - Only dp1 says Resident,73.5,Tier 2 – Medium Risk
556212494,2000-05-25,1711.0,2025-02-22,Email,N,Y,Resident,N,58.0,N,N,Y,2025-01-30,C,Private Renter,Resident,4.0,771.0,Y,Y,2024-09-17,Zone 1 - Agreement,108.1,Tier 3 – High Risk
489299107,1999-06-22,21.0,2025-04-09,SMS,Y,N,Forwarding Address,N,99.0,N,N,Y,2025-03-26,A,Owner,Deceased,,,Y,Y,,Zone 4 - Neither says Resident,73.5,Tier 2 – Medium Risk
714709782,2017-06-25,551.0,2025-03-09,Email,N,Y,Resident,N,89.0,N,Y,Y,2025-03-28,B,Owner,Resident,3.0,951.0,Y,Y,2025-03-08,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
455794031,2005-12-25,2709.0,2024-12-04,Email,N,Y,Unmatched,,,,,,,F,Owner,Resident,2.0,520.0,N,Y,2025-09-18,Zone 3 - Only dp3 says Resident,171.5,Tier 3 – High Risk
658339434,2000-10-30,3552.0,2023-06-21,Email,N,Y,Resident,N,29.0,N,N,N,2023-03-29,C,Social Renter,Unmatched,,,,,,Zone 2 - Only dp1 says Resident,144.7,Tier 3 – High Risk
279802922,2005-01-16,2505.0,2024-12-26,Letter,N,N,Unmatched,,,,,,,E,Private Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,192.1,Tier 3 – High Risk
308314476,2017-07-01,1479.0,2025-02-26,Email,N,Y,Resident,N,62.0,N,Y,Y,2024-12-24,A,,Resident,6.0,799.0,Y,Y,2022-10-01,Zone 1 - Agreement,,
810979390,1999-12-31,2757.0,2024-10-24,Phone,N,N,Resident,N,36.0,N,Y,N,2024-11-30,F,Social Renter,Deceased,,,Y,N,,Zone 2 - Only dp1 says Resident,238.0,Tier 3 – High Risk
917534320,2017-05-26,,,SMS,Y,N,Resident,N,89.0,N,Y,Y,2025-03-12,C,Social Renter,Resident,6.0,792.0,Y,Y,2022-02-02,Zone 1 - Agreement,144.7,Tier 3 – High Risk
180148358,2004-07-07,2948.0,2024-10-12,Email,N,Y,Resident,N,49.0,N,Y,N,2024-11-30,D,Private Renter,Resident,5.0,585.0,Y,Y,2023-10-12,Zone 1 - Agreement,136.7,Tier 3 – High Risk
670529303,2011-05-31,116.0,2025-04-05,SMS,Y,N,Resident,N,75.0,N,Y,N,2025-02-15,A,Social Renter,Resident,3.0,954.0,Y,Y,2025-08-10,Zone 1 - Agreement,125.7,Tier 3 – High Risk
166962694,1998-11-29,29.0,2025-03-28,Email,N,Y,Resident,N,89.0,N,N,Y,2025-03-22,A,Owner,Resident,3.0,958.0,Y,Y,2025-06-20,Zone 1 - Agreement,73.5,Tier 2 – Medium Risk
745868401,2008-12-21,26.0,2025-03-20,Email,N,Y,Resident,N,92.0,N,Y,N,2025-04-06,A,Owner,Forwarding Address,8.0,969.0,Y,Y,2020-09-10,Zone 2 - Only dp1 says Resident,73.5,Tier 2 – Medium Risk
149487753,2010-01-07,50.0,2025-03-22,SMS,Y,N,Unmatched,,,,,,,,Private Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,,
565108561,2000-12-10,318.0,2025-03-04,SMS,Y,N,Unmatched,,,,,,,C,Private Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,108.1,Tier 3 – High Risk
584203193,2002-08-28,3758.0,2023-10-15,Letter,N,N,Resident,N,20.0,N,N,N,2023-03-16,,Social Renter,Resident,1.0,432.0,Y,Y,2025-10-03,Zone 1 - Agreement,,
858229213,2011-10-14,70.0,2025-03-10,SMS,Y,N,Forwarding Address,N,95.0,N,Y,Y,2025-03-11,B,Owner,Forwarding Address,3.0,977.0,Y,Y,2025-06-01,Zone 4 - Neither says Resident,81.6,Tier 2 – Medium Risk
510962926,1997-04-25,789.0,2025-03-23,Email,N,Y,Resident,N,89.0,N,N,N,2025-02-13,D,Private Renter,Resident,8.0,938.0,Y,Y,2020-09-27,Zone 1 - Agreement,136.7,Tier 3 – High Risk
558350373,1997-08-15,4147.0,,Letter,N,N,Resident,Y,2.0,N,N,N,2020-08-16,A,Social Renter,Resident,7.0,282.0,Y,N,2021-03-15,Zone 1 - Agreement,125.7,Tier 3 – High Risk
640324347,2006-07-09,,2025-03-18,Phone,N,N,Resident,N,55.0,N,Y,N,2025-03-22,E,Social Renter,Resident,2.0,896.0,Y,Y,2025-09-24,Zone 1 - Agreement,212.6,Tier 3 – High Risk
895400665,2012-06-09,1793.0,,SMS,Y,N,Resident,N,50.0,N,Y,N,2025-02-11,D,,Resident,2.0,716.0,Y,Y,2025-09-19,Zone 1 - Agreement,,
243997861,1998-01-16,95.0,2025-03-31,Email,N,Y,Resident,N,86.0,N,Y,Y,2025-04-07,,Owner,Resident,6.0,975.0,Y,Y,2021-10-30,Zone 1 - Agreement,,
328849517,2007-04-10,1124.0,2024-12-07,SMS,Y,N,Unmatched,,,,,,,C,Owner,Unmatched,,,,,,Zone 4 - Neither says Resident,97.8,Tier 2 – Medium Risk
818897201,2008-12-04,305.0,2025-02-19,SMS,Y,N,Resident,N,87.0,N,Y,Y,2025-02-28,B,Owner,Forwarding Address,8.0,875.0,Y,Y,2021-04-11,Zone 2 - Only dp1 says Resident,81.6,Tier 2 – Medium Risk
304971810,2008-07-20,217.0,2025-02-13,Email,N,Y,Resident,N,95.0,N,N,Y,2025-03-23,B,Social Renter,Resident,3.0,866.0,Y,Y,2025-04-02,Zone 1 - Agreement,99.0,Tier 2 – Medium Risk
163600593,1998-11-03,2282.0,2025-03-18,Letter,N,N,Resident,N,38.0,N,Y,Y,2024-10-20,E,Social Renter,Resident,1.0,561.0,N,Y,2025-10-03,Zone 1 - Agreement,212.6,Tier 3 – High Risk
841025085,2009-02-22,11.0,2025-04-05,SMS,Y,N,Forwarding Address,N,86.0,N,N,Y,2025-04-08,C,Owner,Resident,1.0,983.0,Y,Y,2025-10-03,Zone 3 - Only dp3 says Resident,97.8,Tier 2 – Medium Risk
816508552,2001-06-02,2155.0,,Letter,N,N,Unmatched,,,,,,,F,Private Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,213.1,Tier 3 – High Risk
920010850,2008-03-23,,2025-04-01,SMS,Y,N,Resident,N,91.0,N,Y,N,2025-03-10,F,Social Renter,Resident,2.0,259.0,Y,Y,2025-09-21,Zone 1 - Agreement,238.0,Tier 3 – High Risk
496191591,2015-08-21,1020.0,2025-02-16,Phone,N,N,Resident,N,69.0,N,N,Y,2024-12-08,C,Private Renter,Resident,3.0,808.0,Y,N,2025-06-20,Zone 1 - Agreement,108.1,Tier 3 – High Risk
725085379,2000-09-07,5.0,2025-03-11,SMS,Y,N,Resident,N,86.0,N,Y,Y,2025-03-26,D,Owner,Resident,9.0,987.0,Y,Y,2019-07-01,Zone 1 - Agreement,137.0,Tier 3 – High Risk
843582763,2009-07-21,,2025-03-30,Letter,N,N,Resident,N,95.0,N,Y,N,2025-04-02,D,Social Renter,Forwarding Address,4.0,585.0,Y,Y,2025-03-25,Zone 2 - Only dp1 says Resident,160.7,Tier 3 – High Risk
899777980,2006-03-01,1559.0,2025-02-07,Phone,N,N,Resident,N,71.0,N,Y,N,2025-01-06,D,Private Renter,Resident,8.0,718.0,N,Y,2020-08-20,Zone 1 - Agreement,136.7,Tier 3 – High Risk
398466977,2015-10-05,50.0,2025-04-07,SMS,Y,N,Resident,N,88.0,N,Y,Y,2025-04-06,B,Owner,Resident,8.0,956.0,Y,Y,2020-12-06,Zone 1 - Agreement,81.6,Tier 2 – Medium Risk
